月份,Y22-01,Y22-02,Y22-03,Y22-04,Y22-05,Y22-06,Y22-07,Y22-08,Y22-09,Y22-10,Y22-11,Y22-12,地城市,大区,小区,门店编码,渠道,有效值数量,有效值占比
南城百货南铁店21号店,8126.018,8299.681,46555.555,7195.301,7777.329,7188.375,3811.876,4090.961,3384.383,7467.199,8.407705e-05,8.591547e-05,南宁,东区,湖北区,SC-17662,南城百货,10,0.8333333333333334
南城百货城北店1号店,15021.666,18381.248,49876.477,12617.693,13120.876,14339.621,12782.192,13011.895,12316.346,24433.902,8.407705e-05,24383.543,南宁,东区,湖北区,SC-17659,南城百货,10,0.8333333333333334
南城百货新阳店11号店,7311.288,7155.773,18280.91,5792.2495,21475.771,5865.612,5698.4854,5796.8667,5733.759,6052.365,8.407705e-05,8.591547e-05,南宁,东区,湖北区,SC-17664,南城百货,10,0.8333333333333334
南城百货明秀店42号店,7963.8345,9301.665,46555.555,7595.983,9162.735,7174.095,8137.62,8230.797,8244.676,24433.902,8.407705e-05,24383.543,南宁,东区,湖北区,SC-18637,南城百货,10,0.8333333333333334
南城百货柳太店46号店,5710.0225,7658.7656,15104.242,6039.681,5438.1797,5339.6704,5236.938,5443.069,5345.6855,5526.7305,8.407705e-05,8.591547e-05,柳州,东区,湖北区,GXR-N-01717,南城百货,10,0.8333333333333334
南城百货柳州柳石店,7583.9688,7846.0137,12596.511,21154.787,6539.8086,6104.887,5857.447,5981.107,5697.6963,5773.327,8.407705e-05,8.591547e-05,柳州,东区,湖北区,SC-18671,南城百货,10,0.8333333333333334
南城百货柳州阳光100店,7208.3994,7076.0996,16292.515,5855.175,6039.508,6251.21,5695.406,5966.9224,5768.8774,24433.902,8.407705e-05,24383.543,柳州,东区,湖北区,SC-18673,南城百货,10,0.8333333333333334
南城百货桂林临桂店,25403.572,7283.596,21940.062,5822.748,5970.716,5793.9214,21011.254,5726.428,5830.9575,5913.915,8.407705e-05,8.591547e-05,桂林,东区,湖北区,GHR-N-00071,南城百货,10,0.8333333333333334
南城百货桂林兴安店,6811.7676,8204.381,12833.026,6868.1475,7753.7427,5979.1426,6495.7197,6681.661,17419.676,7420.5405,23861.785,8.591547e-05,桂林,东区,湖北区,GHR-N-00074,南城百货,10,0.8333333333333334
南城百货桂林国展店,15154.62,17785.277,36554.34,10649.071,10242.312,6251.21,21011.254,10027.506,15484.273,10052.396,8.407705e-05,8.591547e-05,桂林,东区,湖北区,GHR-N-00068,南城百货,10,0.8333333333333334
南城百货步步高柳州广场路店,8183.1606,10575.042,25937.346,6336.7676,6758.09,6251.21,6446.042,6530.226,6488.452,9877.804,8.407705e-05,8.591547e-05,柳州,东区,湖北区,YUEGR-N-00084,南城百货,10,0.8333333333333334
南城百货白沙店23号店,7499.053,22296.473,17125.691,5732.8354,6759.446,6251.21,3146.604,6501.4526,2541.3103,6652.8203,8.407705e-05,8.591547e-05,南宁,东区,湖北区,SC-17670,南城百货,10,0.8333333333333334
南城百货碧翠园47号店,8399.435,8418.922,25272.34,7744.786,8408.38,7734.099,7306.1035,23347.164,17419.676,7623.7905,23861.785,8.591547e-05,南宁,东区,湖北区,GXR-N-01714,南城百货,10,0.8333333333333334
南城百货良庆店9号店,10072.209,11155.543,25276.916,8542.651,9225.354,7848.139,8188.9517,23347.164,8289.823,8306.182,8.407705e-05,24383.543,南宁,东区,湖北区,SC-17668,南城百货,10,0.8333333333333334
南城百货贵源店37号店,7130.504,10213.556,25532.469,5836.6973,7320.9683,7903.831,1673.9695,6552.249,2203.7593,6781.264,8.407705e-05,8.591547e-05,南宁,东区,湖北区,SC-17661,南城百货,10,0.8333333333333334
南城百货青秀店12号店,6732.149,8079.021,12497.236,5681.8022,6463.8896,5177.218,2172.4336,5357.203,3056.2407,5986.2217,8.407705e-05,8.591547e-05,南宁,东区,湖北区,SC-17665,南城百货,10,0.8333333333333334
南宁青秀店,12165.481,22296.473,33635.72,19017.758,13295.402,7810.0024,8439.56,8.226378e-05,14891.475,15842.754,12559.869,18752.227,南宁,南区,广西区,HRWJ-0657,华润,11,0.9166666666666666
南新店,20593.504,40284.17,68313.09,8431.471,11971.187,7126.3564,7701.526,14578.071,11063.703,15172.574,10029.342,11260.045,深圳,南区,粤赣区,HRWJ-0152,华润,12,1.0
南昌中山天虹百货,8.950954e-05,7.856167e-05,46555.555,7.453894e-05,7936.935,12204.925,5217.608,10149.109,12513.558,7751.935,7576.3647,4821.316,南昌,南区,粤赣区,JX-00798,天虹,8,0.6666666666666666
南昌市五湖大润发商业有限公司,10346.912,7316.1255,46555.555,10739.29,8895.366,12246.9,9383.421,15279.775,11502.801,13056.788,28103.408,17057.201,南昌,南区,粤赣区,RTM-0342,大润发,12,1.0
南昌红谷丽景天虹,5001.1367,5461.348,60265.684,4761.787,4891.011,5605.964,4361.6826,5508.6636,7892.8276,9156.2295,5695.8804,2127.6514,南昌,南区,粤赣区,JX-00796,天虹,12,1.0
南昌西湖大润发商业有限公司,15512.572,22296.473,44271.867,13670.29,8852.953,13301.897,11789.388,18542.713,14273.723,17427.867,32096.062,16724.805,南昌,南区,粤赣区,RTM-0087,大润发,12,1.0
南昌西湖大润发商业有限公司青山湖分公司,14300.746,22296.473,5077.9336,7.453894e-05,7.566992e-05,6251.21,7.40332e-05,8.226378e-05,6.137827e-05,-0.00045141764,8.407705e-05,8.591547e-05,南昌,东区,湖北区,RTM-0275,大润发,3,0.25
南湾店,22700.12,32761.426,44588.883,6096.2314,8540.875,5684.7505,6362.127,10077.107,8420.853,11594.351,6413.3457,10381.94,深圳,南区,粤赣区,HRWJ-00142,华润,12,1.0
南通大润发港闸店,79693.766,53684.46,46555.555,55355.5,57141.996,47039.54,72129.266,63481.15,17419.676,70081.73,73342.516,45868.117,南通,东区,苏沪区,RTM-0325,大润发,12,1.0
南通山姆会员店,108123.9,22296.473,141881.0,90040.016,91406.2,6251.21,89429.11,23347.164,74142.46,119962.31,101561.68,103782.41,南通,东区,苏沪区,SAM-N-00011,山姆,12,1.0
南通新欧尚超市有限公司港闸店,77554.25,43457.05,110866.28,59972.883,53956.39,6251.21,57229.37,49178.234,41364.797,49737.426,53804.16,40812.87,南通,东区,苏沪区,AUC-0051,大润发,12,1.0
南通欧尚超市有限公司如东店,38302.797,40380.99,89387.375,21154.787,39851.45,32739.385,54495.05,42654.305,40720.547,24433.902,23861.785,39545.86,如东县,东区,苏沪区,AUC-N-00003,大润发,12,1.0
南通欧尚超市有限公司工农店,108123.9,40363.49,106353.71,40002.87,46025.902,38877.473,61135.402,41972.953,39908.75,50751.996,52004.84,42204.33,南通,东区,苏沪区,AUC-0043,大润发,12,1.0
南通润茂商业有限公司,65286.117,44970.83,113453.42,38363.223,44875.34,41513.32,69411.77,51457.94,49712.5,63640.098,72946.24,24383.543,南通,东区,苏沪区,RTM-N-00066,大润发,12,1.0
南通通润发有限公司,66355.4,57271.848,143342.95,39964.31,51213.55,46411.855,66125.6,52950.242,45635.758,55495.465,52147.906,34760.754,南通,东区,苏沪区,RTM-0031,大润发,12,1.0
南阳万德隆仲景店,11373.587,10963.939,10688.959,9678.079,4792.173,8220.138,21011.254,11273.952,17419.676,11672.316,10005.684,4136.5225,南阳,北区,河南区,NY-00262,万德隆,12,1.0
南阳万德隆凤凰店,26969.434,22826.701,27488.488,21200.08,13478.573,21927.451,20171.484,23347.164,17419.676,21031.615,24166.098,11379.453,南阳,北区,河南区,NY-00051,万德隆,12,1.0
南阳万德隆南师店,12593.387,16033.626,18648.674,11115.738,7253.3486,10909.454,11003.029,13327.4795,12295.192,15918.639,12040.06,12159.185,南阳,北区,河南区,NY-00010,万德隆,12,1.0
南阳万德隆唐河三店,38607.832,37993.4,56458.2,21154.787,15079.126,23404.996,23700.91,31899.91,26076.605,32564.791,30190.645,10347.102,南阳,北区,河南区,NY-00133,万德隆,12,1.0
南阳万德隆府衙店,8245.552,7745.3,12965.972,21154.787,7.566992e-05,-0.00064453157,7.40332e-05,8.226378e-05,6.137827e-05,24433.902,8.407705e-05,8.591547e-05,南阳,北区,河南区,NY-00050,万德隆,3,0.25
南阳万德隆新野店,10203.841,16596.629,46555.555,11995.803,7203.017,15652.677,16839.025,16886.922,17419.676,16742.137,17435.395,24383.543,南阳,北区,河南区,NY-00043,万德隆,12,1.0
南阳万德隆理工店,22508.518,21316.387,24743.99,20887.715,13703.95,20808.49,24263.246,23347.164,16994.707,20823.926,24536.416,8460.455,南阳,北区,河南区,HBR3-N-02048,万德隆,12,1.0
南阳万德隆盛德美店,8.950954e-05,7.856167e-05,0.00016403859,7.453894e-05,7.566992e-05,-0.00064453157,7.40332e-05,8.226378e-05,6.137827e-05,42813.66,28216.963,17107.736,洛阳,北区,河南区,NY-00001,洛阳大张,3,0.25
南阳万德隆社旗店,17926.803,10207.654,19569.55,12105.609,7504.6616,12250.615,18782.098,11189.553,13452.224,24433.902,17079.709,14465.336,南阳,北区,河南区,NY-00181,万德隆,12,1.0
南阳万德隆邓州四店,20889.549,22246.297,46555.555,22118.951,12180.88,6251.21,23297.451,26225.709,23132.207,25134.62,26404.148,9623.385,南阳,北区,河南区,NY-00134,万德隆,12,1.0
南阳万德隆邓州皇马店,8.950954e-05,7.856167e-05,0.00016403859,10203.496,10235.58,12135.212,10349.175,6855.3467,12268.07,24433.902,5347.1523,3420.9353,南阳,北区,河南区,HNR-N-06194,万德隆,9,0.75
南阳万德隆镇平时代广场店,27200.354,22296.473,37873.12,32063.033,13398.842,32072.7,24994.484,23347.164,23336.535,34553.164,32644.02,24210.557,南阳,北区,河南区,HBR3-N-02046,万德隆,12,1.0
南阳万德隆高新店,13476.381,15172.85,17806.21,9841.616,7495.559,13248.972,13843.634,23347.164,11899.032,15256.278,12504.773,4239.9614,南阳,北区,河南区,NY-00042,万德隆,12,1.0
